iter	Passed	Remaining
0	2	2984
1	6	3075
2	9	3131
3	12	3052
4	15	3054
5	18	3018
6	21	3045
7	24	3023
8	27	3023
9	30	2999
10	33	2996
11	36	2979
12	39	2985
13	42	2984
14	45	2969
15	48	2996
16	51	2985
17	54	2964
18	57	2951
19	60	2943
20	63	2945
21	66	2937
22	69	2933
23	71	2917
24	74	2920
25	78	2926
26	81	2929
27	84	2931
28	87	2927
29	90	2922
30	93	2914
31	95	2900
32	98	2897
33	101	2892
34	104	2891
35	108	2896
36	111	2898
37	114	2891
38	117	2891
39	120	2894
40	123	2890
41	126	2880
42	129	2872
43	131	2860
44	135	2865
45	138	2862
46	141	2864
47	144	2857
48	147	2856
49	150	2857
50	153	2852
51	156	2854
52	159	2848
53	162	2843
54	165	2845
55	168	2845
56	171	2841
57	174	2835
58	177	2830
59	180	2823
60	183	2820
61	186	2815
62	189	2817
63	192	2811
64	195	2805
65	198	2803
66	200	2795
67	203	2791
68	206	2788
69	209	2787
70	212	2785
71	215	2779
72	218	2779
73	221	2773
74	225	2775
75	228	2773
76	230	2768
77	234	2766
78	236	2762
79	240	2763
80	243	2764
81	246	2762
82	250	2763
83	252	2758
84	256	2757
85	259	2760
86	262	2758
87	266	2758
88	269	2756
89	272	2755
90	275	2751
91	278	2752
92	282	2752
93	285	2749
94	288	2746
95	291	2746
96	294	2743
97	297	2736
98	300	2736
99	303	2733
100	306	2726
101	309	2722
102	312	2717
103	315	2715
104	318	2712
105	320	2706
106	323	2703
107	327	2703
108	330	2701
109	333	2699
110	336	2696
111	339	2694
112	343	2693
113	346	2692
114	349	2685
115	352	2683
116	355	2680
117	358	2678
118	361	2675
119	364	2671
120	367	2668
121	370	2663
122	373	2662
123	376	2660
124	379	2658
125	382	2655
126	385	2651
127	389	2650
128	392	2647
129	395	2644
130	398	2641
131	401	2640
132	404	2636
