iter	Passed	Remaining
336	6017	11838
337	6034	11819
338	6052	11801
339	6069	11781
340	6086	11762
341	6103	11743
342	6121	11724
343	6138	11706
344	6155	11685
345	6172	11666
346	6188	11646
347	6205	11627
348	6222	11606
349	6239	11587
350	6256	11569
351	6273	11549
352	6290	11529
353	6307	11510
354	6325	11492
355	6342	11473
356	6360	11456
357	6377	11437
358	6394	11418
359	6411	11398
360	6428	11379
361	6445	11360
362	6462	11341
363	6480	11322
364	6498	11305
365	6516	11287
366	6533	11269
367	6551	11250
368	6568	11232
369	6586	11214
370	6603	11194
371	6620	11177
372	6638	11159
373	6656	11142
374	6673	11123
375	6690	11103
376	6708	11085
377	6724	11065
378	6741	11045
379	6758	11026
380	6775	11008
381	6792	10989
382	6809	10970
383	6826	10951
384	6845	10934
385	6863	10917
386	6881	10899
387	6898	10881
388	6915	10862
389	6932	10843
390	6951	10827
391	6970	10811
392	6987	10792
393	7004	10773
394	7022	10755
395	7039	10736
396	7055	10717
397	7072	10697
398	7089	10679
399	7106	10659
400	7124	10641
401	7141	10623
402	7159	10605
403	7176	10587
404	7193	10568
405	7211	10550
406	7238	10546
407	7255	10527
408	7271	10507
409	7289	10489
410	7306	10470
411	7323	10451
412	7340	10432
413	7357	10414
414	7375	10396
415	7391	10377
416	7409	10358
417	7426	10340
418	7443	10321
419	7460	10303
420	7478	10285
421	7496	10267
422	7514	10250
423	7531	10231
424	7548	10212
425	7565	10194
426	7582	10175
427	7600	10157
428	7616	10137
429	7633	10119
430	7650	10100
431	7668	10082
432	7685	10064
433	7703	10046
434	7720	10027
435	7738	10010
436	7755	9991
437	7772	9973
438	7789	9954
439	7806	9935
440	7824	9918
441	7842	9900
442	7859	9882
443	7877	9864
444	7895	9846
445	7913	9829
446	7930	9811
447	7948	9793
448	7965	9775
449	7982	9756
450	8000	9738
451	8017	9720
452	8034	9701
453	8052	9684
454	8070	9666
455	8088	9649
456	8105	9630
457	8122	9612
458	8140	9594
459	8157	9576
460	8174	9557
461	8192	9539
462	8208	9520
463	8225	9501
464	8242	9483
465	8260	9465
466	8278	9447
467	8295	9430
468	8313	9412
469	8330	9394
470	8348	9376
