iter	Logloss
0	0.638560028
1	0.6020545328
2	0.5801534215
3	0.5635060402
4	0.5506975007
5	0.5418717027
6	0.5334999255
7	0.528375425
8	0.5234627576
9	0.519486695
10	0.5162852281
11	0.5134349193
12	0.5090636035
13	0.5058926636
14	0.5039977452
15	0.5009002104
16	0.4995306628
17	0.4989860579
18	0.497287683
19	0.4961759092
20	0.4952273903
21	0.4944506888
22	0.4937181684
23	0.4927975112
24	0.4922830508
25	0.4918776408
26	0.4911014419
27	0.490665748
28	0.4900907979
29	0.4897298335
30	0.4893127507
31	0.488925593
32	0.4884769999
33	0.4881584918
34	0.4878044897
35	0.487286977
36	0.4868721177
37	0.4866122271
38	0.4860575612
39	0.4856396103
40	0.4852494186
41	0.4848992192
42	0.484559168
43	0.4843420384
44	0.4840728155
45	0.4838158533
46	0.4836836373
47	0.483403926
48	0.4830768178
49	0.4829090351
50	0.4827074792
51	0.4824235021
52	0.482136338
53	0.4819899633
54	0.4817188397
55	0.4811515027
56	0.4810104674
57	0.4807427487
58	0.4804128251
59	0.4801825139
60	0.4800002287
61	0.4797700754
62	0.4795048891
63	0.4793489787
64	0.4790830407
65	0.4788340869
66	0.478562289
67	0.4783981085
68	0.4781313284
69	0.4780356115
70	0.4777994343
71	0.4775499388
72	0.4772728236
73	0.4769002031
74	0.4766696183
75	0.4765364114
76	0.4761891384
77	0.4760035409
78	0.4758022541
79	0.4757263551
80	0.4755539114
81	0.4754144701
82	0.4751733434
83	0.4749388944
84	0.4747847582
85	0.4747088784
86	0.4745322597
87	0.4742737069
88	0.4740276072
89	0.4736414288
90	0.4734457905
91	0.4733137335
92	0.4731463063
93	0.4730383418
94	0.4728171183
95	0.4726266887
96	0.4724473993
97	0.4723675341
98	0.4721836262
99	0.4719608355
100	0.4717582919
101	0.4716211896
102	0.4714269587
103	0.4712762529
104	0.4710278102
105	0.4708680703
106	0.4706782071
107	0.4703961466
108	0.4702018828
109	0.4700286974
110	0.469684816
111	0.4694788478
112	0.4692832116
113	0.4691709602
114	0.4690253619
115	0.4688627826
116	0.4686796824
117	0.4686154299
118	0.4683816787
119	0.4680963649
120	0.4679517376
121	0.467854895
122	0.4676097281
123	0.4673957136
124	0.4671769149
125	0.467065045
126	0.4669038097
127	0.4667069696
128	0.4665581891
129	0.4662859322
130	0.4662237664
131	0.4661628224
132	0.4659472315
