iter	Passed	Remaining
401	3259	4848
402	3266	4839
403	3274	4830
404	3281	4821
405	3289	4812
406	3296	4803
407	3303	4793
408	3310	4783
409	3318	4775
410	3325	4765
411	3332	4756
412	3340	4747
413	3347	4738
414	3355	4730
415	3363	4722
416	3372	4715
417	3381	4708
418	3389	4700
419	3397	4692
420	3405	4683
421	3412	4674
422	3421	4666
423	3428	4657
424	3436	4649
425	3443	4640
426	3452	4632
427	3460	4624
428	3468	4616
429	3476	4608
430	3485	4601
431	3493	4592
432	3501	4584
433	3509	4577
434	3517	4569
435	3525	4560
436	3533	4551
437	3540	4543
438	3556	4544
439	3563	4535
440	3571	4526
441	3578	4518
442	3586	4509
443	3594	4500
