iter	Logloss
221	0.4486255514
222	0.4482689503
223	0.4479756596
224	0.4478253474
225	0.4476302727
226	0.447471081
227	0.4471361936
228	0.4468656249
229	0.4466673042
230	0.4465221268
231	0.4463354634
232	0.4460882203
233	0.4459586635
234	0.4457923235
235	0.4454942193
236	0.4452743344
237	0.4449663177
238	0.4447054316
239	0.4445065126
240	0.4443220206
241	0.4440560245
242	0.4438397789
243	0.4436101394
244	0.4433945862
245	0.4432299218
246	0.4429684485
247	0.4427035215
248	0.442433274
249	0.4422007846
250	0.4419477032
251	0.4416869555
252	0.441452688
253	0.4411663879
254	0.4409234349
255	0.4407116401
256	0.4405302473
257	0.44028612
258	0.4401104409
259	0.439921955
260	0.4396485281
261	0.4394071676
262	0.4391973448
263	0.4389273853
264	0.4386301508
265	0.4383828274
266	0.4382085968
267	0.4379430549
268	0.4377527051
269	0.4374896642
270	0.4372509459
271	0.4370081869
272	0.436773684
273	0.4365450499
274	0.4363763806
275	0.4360771908
276	0.4359177471
277	0.4356897445
278	0.4355248336
279	0.4353082556
280	0.4350230218
281	0.4347839297
282	0.4345323826
283	0.4342314174
284	0.4339736664
285	0.4338445915
286	0.4336663283
287	0.4334547246
288	0.433157058
289	0.4329087265
290	0.432706448
291	0.4324392222
292	0.4321142998
293	0.4319283704
294	0.4317177055
295	0.4314630704
296	0.4311998439
297	0.4308806103
298	0.4306756398
299	0.4304088709
300	0.4300938195
301	0.4298548021
302	0.4296020171
303	0.4292797203
304	0.429048469
305	0.4288062084
306	0.4285562068
307	0.4282977136
308	0.4279798454
309	0.427730514
310	0.4275398375
311	0.4272379306
312	0.4270099308
313	0.4266927218
314	0.4263869458
315	0.4261310837
316	0.4258704357
317	0.4256285684
318	0.4253787163
319	0.4250469946
320	0.4247965914
321	0.4244968864
322	0.4242525597
323	0.4240255791
324	0.4237571512
325	0.4235107556
326	0.4233051647
327	0.4230839726
328	0.4228371754
329	0.4226102391
330	0.4223372054
331	0.4221182511
332	0.4219264972
333	0.4216982564
334	0.421440907
335	0.4211753097
336	0.4209136674
337	0.4206709831
338	0.4204406291
339	0.4202914911
340	0.4199741492
341	0.419746238
342	0.419519864
343	0.4192549508
344	0.4190166064
345	0.4187713464
346	0.4185079177
347	0.4183260374
348	0.4181024856
349	0.4178482797
350	0.4175861084
351	0.4173382006
352	0.4170959899
353	0.4168907037
354	0.4165357892
355	0.4162574573
356	0.4159821913
357	0.4157307356
358	0.4155310827
359	0.4151957273
360	0.4148631442
361	0.4146043297
362	0.4142279507
363	0.4139583597
364	0.4136710265
365	0.4133986714
366	0.4131005699
367	0.4127623756
368	0.4125701564
369	0.4122265835
370	0.4119543779
371	0.411658686
372	0.4113055995
373	0.4109991089
374	0.4106330468
375	0.4103743819
376	0.4099995068
377	0.4098383266
378	0.4095724911
379	0.4093078161
380	0.4090539925
381	0.4087790976
382	0.408461559
383	0.4082513069
384	0.407971784
385	0.4077431222
386	0.4074035514
387	0.4070770199
388	0.4067213937
389	0.4064261366
390	0.4062348286
391	0.4058705113
392	0.4055225264
393	0.4051697474
394	0.4049020507
395	0.4046498639
396	0.4043403267
397	0.4041134015
398	0.4037705487
399	0.403465659
400	0.4031832224
401	0.4028087739
402	0.4024799215
403	0.4022334567
404	0.4018896789
405	0.4015617709
406	0.4012462818
407	0.4009652772
408	0.400583672
409	0.4002715647
410	0.3999277869
411	0.3998758123
412	0.399816238
413	0.399416744
414	0.3992292275
415	0.398897503
416	0.3985394478
417	0.3982424099
418	0.3978724122
419	0.3975680764
420	0.3971466553
421	0.3968763524
422	0.3965412878
423	0.3962872674
424	0.3959867786
425	0.3956254359
426	0.39540382
427	0.3950430423
428	0.3947531057
429	0.3944445296
430	0.3941601211
431	0.3938011076
432	0.3934662618
433	0.3932400678
434	0.3930013717
